Table 6,,,,,,,,,,,,
PENNSYLVANIA,,,,,,,,,,,,
Offenses Known to Law Enforcement,,,,, ,,,,,,,
"by City, 2016",,,,,,,,,,,,
City,Population,"Violent
crime","Murder and
nonnegligent
manslaughter","Rape
(revised
definition1)","Rape
(legacy
definition2)",Robbery,"Aggravated
assault","Property
crime",Burglary,"Larceny-
theft","Motor
vehicle
theft",Arson
Bushkill Township,"8,430",15,0,0,,1,14,31,1,29,1,0
"Butler Township, Butler County","16,713",25,0,1,,5,19,374,26,342,6,1
"Butler Township, Luzerne County","9,713",19,0,1,,0,18,72,18,53,1,0
"Butler Township, Schuylkill County","5,657",3,0,0,,2,1,18,5,13,0,0
"Caernarvon Township, Berks County","4,074",4,0,0,,1,3,82,10,68,4,0
California,"7,004",11,0,2,,1,8,87,6,80,1,1
Callery,389,0,0,0,,0,0,0,0,0,0,0
Caln Township,"14,167",53,0,4,,7,42,356,17,329,10,0
Cambria Township,"5,885",5,0,2,,0,3,81,2,76,3,0
Cambridge Springs,"2,528",2,0,0,,0,2,3,1,2,0,0
Camp Hill,"7,929",4,0,0,,3,1,57,7,49,1,0
Canonsburg,"8,909",10,0,0,,2,8,49,4,45,0,0
Canton,"1,910",3,0,0,,0,3,14,3,11,0,0
Carbondale,"8,503",4,0,1,,1,2,90,12,73,5,0
Carlisle,"19,225",25,1,7,,11,6,400,44,345,11,2
Carnegie,"7,923",7,0,0,,1,6,135,22,98,15,0
Carrolltown,810,4,0,0,,0,4,8,0,8,0,0
"Carroll Township, Washington County","5,539",9,0,0,,0,9,50,9,36,5,0
"Carroll Township, York County","6,309",4,0,1,,0,3,63,8,55,0,0
Carroll Valley,"3,954",2,0,2,,0,0,35,0,35,0,0
Cass Township,"1,900",1,0,0,,0,1,4,1,1,2,0
Castle Shannon,"8,219",12,0,1,,4,7,62,14,44,4,0
Catasauqua,"6,543",6,0,0,,3,3,71,9,57,5,0
Catawissa,"1,506",3,0,0,,0,3,16,2,14,0,0
Cecil Township,"12,059",3,1,0,,0,2,69,11,56,2,0
Center Township,"11,750",33,0,0,,5,28,346,19,321,6,1
Central Berks Regional,"9,458",12,0,4,,3,5,202,26,161,15,3
Central Bucks Regional,"15,380",12,0,4,,2,6,145,8,128,9,0
Chambersburg,"20,770",87,2,14,,27,44,630,83,527,20,5
Charleroi Regional,"6,630",35,0,2,,15,18,222,21,198,3,0
Chartiers Township,"7,960",6,0,1,,0,5,57,12,42,3,2
Cheltenham Township,"37,064",61,2,2,,41,16,944,121,789,34,5
Cherry Tree,350,0,0,0,,0,0,0,0,0,0,0
Chester,"34,109",536,23,30,,210,273,"1,049",300,649,100,21
Chester Township,"4,130",41,0,1,,10,30,95,25,55,15,0
Cheswick,"1,727",0,0,0,,0,0,18,3,14,1,0
Chippewa Township,"8,192",4,0,0,,3,1,198,6,188,4,0
Christiana,"1,171",6,0,0,,0,6,15,0,14,1,0
Churchill,"2,973",26,0,0,,0,26,22,5,15,2,0
Clarion,"6,284",3,0,1,,1,1,46,6,38,2,1
Clarks Summit,"6,336",6,0,0,,3,3,22,2,20,0,0
Clearfield,"5,996",56,0,0,,3,53,173,14,156,3,0
Cleona,"2,146",0,0,0,,0,0,10,2,7,1,0
Clifton Heights,"6,691",27,0,0,,2,25,103,14,82,7,0
Coaldale,"2,181",4,0,0,,0,4,7,0,7,0,0
Coal Township,"10,480",9,0,1,,0,8,168,25,140,3,1
Coatesville,"13,157",111,8,1,,38,64,329,52,251,26,2
Cochranton,"1,104",0,0,0,,0,0,1,0,1,0,0
Colebrookdale District,"6,007",5,0,2,,1,2,120,7,109,4,1
Collegeville,"5,327",5,0,1,,2,2,45,11,33,1,2
Collier Township,"8,096",7,0,1,,4,2,159,25,133,1,0
Collingdale,"8,794",89,0,1,,15,73,219,36,159,24,0
Colonial Regional,"20,361",3,0,1,,2,0,506,41,458,7,2
Columbia,"10,385",23,1,7,,7,8,218,32,174,12,0
"Conemaugh Township, Cambria County","1,910",3,0,1,,0,2,11,3,7,1,0
"Conemaugh Township, Somerset County","6,961",9,0,0,,2,7,40,13,27,0,0
"Conewago Township, Adams County","7,200",5,1,1,,0,3,48,5,43,0,0
Conewango Township,"3,422",11,0,0,,0,11,86,6,79,1,1
Conneaut Lake Regional,"3,505",1,0,0,,0,1,44,15,28,1,0
Connellsville,"7,492",25,0,5,,11,9,299,53,239,7,4
Conoy Township,"3,472",1,0,0,,0,1,40,5,35,0,0
Conshohocken,"7,979",2,1,0,,1,0,102,5,84,13,2
Conway,"2,145",1,0,0,,0,1,15,1,12,2,0
Conyngham,"1,874",0,0,0,,0,0,17,2,15,0,0
Coopersburg,"2,428",1,0,0,,0,1,26,6,16,4,0
Coplay,"3,236",2,0,0,,0,2,49,9,39,1,0
Coraopolis,"5,573",41,0,3,,5,33,141,28,106,7,0
Cornwall,"4,249",1,0,1,,0,0,2,1,1,0,0
Corry,"6,384",35,0,3,,0,32,198,21,173,4,0
Coudersport,"2,469",15,0,0,,0,15,6,0,6,0,0
Courtdale,736,0,0,0,,0,0,2,1,1,0,0
Covington Township,"2,265",3,0,0,,0,3,53,14,38,1,2
Crafton,"6,316",19,0,0,,5,14,234,17,212,5,0
Cranberry Township,"30,940",15,0,2,,4,9,391,23,363,5,2
Crescent Township,"2,601",4,0,0,,0,4,21,5,14,2,1
Cresson,"1,619",1,0,0,,1,0,22,0,22,0,0
Cresson Township,"2,562",0,0,0,,0,0,6,0,6,0,0
Croyle Township,"2,274",0,0,0,,0,0,10,1,8,1,0
"Cumberland Township, Adams County","6,243",5,0,1,,0,4,38,11,27,0,0
Cumru Township,"15,385",15,0,1,,4,10,254,36,208,10,0
Curwensville,"2,461",15,0,3,,0,12,29,6,22,1,1
Dallas,"2,779",6,0,1,,0,5,21,1,20,0,0
Dalton,"1,204",1,0,0,,0,1,32,7,24,1,0
Danville,"4,686",23,0,1,,2,20,84,4,79,1,0
Darby,"10,687",228,3,5,,69,151,398,110,248,40,0
Darby Township,"9,329",38,0,1,,14,23,148,12,129,7,0
Darlington Township,"1,921",1,0,0,,0,1,33,10,23,0,0
Delano Township,423,0,0,0,,0,0,0,0,0,0,0
Delaware Water Gap,707,0,0,0,,0,0,0,0,0,0,0
Delmont,"2,631",2,0,0,,0,2,18,2,16,0,0
Denver,"3,877",6,0,3,,3,0,28,2,25,1,0
"Derry Township, Dauphin County","25,044",26,0,3,,3,20,349,49,293,7,4
Dickson City,"5,839",16,0,1,,0,15,304,11,291,2,0
Dormont,"8,440",9,0,0,,4,5,103,11,84,8,0
"Douglass Township, Berks County","3,554",0,0,0,,0,0,21,2,16,3,0
"Douglass Township, Montgomery County","10,475",13,0,1,,2,10,125,10,112,3,0
Downingtown,"7,957",16,0,0,,3,13,189,13,166,10,0
Doylestown Township,"17,539",9,0,2,,1,6,187,11,168,8,0
Dublin Borough,"2,171",4,0,0,,0,4,12,0,12,0,0
Du Bois,"7,561",30,0,10,,0,20,218,29,187,2,1
Duboistown,"1,208",0,0,0,,0,0,0,0,0,0,0
Dunbar,"1,014",1,0,0,,0,1,0,0,0,0,0
Duncansville,"1,198",0,0,0,,0,0,14,3,11,0,0
Dunmore,"13,247",40,0,3,,5,32,237,46,182,9,3
Dunnstable Township,"1,019",0,0,0,,0,0,1,0,1,0,0
Dupont,"2,714",10,0,1,,1,8,28,12,16,0,0
Duquesne,"5,528",69,0,10,,21,38,230,94,114,22,8
Duryea,"4,935",20,0,2,,2,16,67,8,55,4,1
Earl Township,"7,191",0,0,0,,0,0,43,10,31,2,0
East Bangor,"1,655",0,0,0,,0,0,15,3,12,0,0
East Bethlehem Township,"2,288",12,0,2,,0,10,22,2,19,1,0
East Brandywine Township,"8,642",13,0,2,,0,11,29,7,21,1,0
East Cocalico Township,"10,502",7,0,2,,2,3,71,16,49,6,0
East Conemaugh,"1,448",5,0,0,,0,5,21,9,12,0,0
East Coventry Township,"6,767",2,0,0,,0,2,50,6,43,1,0
East Earl Township,"6,848",1,0,0,,1,0,70,9,60,1,1
Eastern Adams Regional,"7,403",19,0,1,,2,16,65,12,53,0,0
Eastern Pike Regional,"4,614",16,1,5,,1,9,155,9,142,4,0
East Fallowfield Township,"7,590",2,0,0,,0,2,39,9,30,0,0
East Franklin Township,"3,949",0,0,0,,0,0,18,1,17,0,0
East Hempfield Township,"24,462",13,0,4,,6,3,316,36,278,2,0
East Lampeter Township,"17,090",37,0,0,,12,25,614,37,565,12,1
East Lansdowne,"2,665",12,0,0,,6,6,88,12,72,4,3
East Marlborough Township,"7,334",0,0,0,,0,0,38,3,35,0,0
East Norriton Township,"14,171",18,0,0,,3,15,280,11,256,13,1
Easton,"26,938",74,1,7,,34,32,445,47,366,32,5
East Pennsboro Township,"21,712",13,0,3,,4,6,158,34,122,2,2
East Petersburg,"4,528",3,0,2,,1,0,16,3,13,0,0
East Pikeland Township,"7,411",5,0,1,,0,4,49,7,41,1,2
East Rochester,547,0,0,0,,0,0,19,0,19,0,0
East Taylor Township,"2,577",3,0,1,,2,0,8,3,4,1,0
Easttown Township,"10,644",1,0,0,,0,1,98,9,84,5,0
East Union Township,"1,591",1,0,0,,0,1,2,0,2,0,1
East Vincent Township,"6,938",2,0,1,,0,1,43,9,34,0,1
East Washington,"1,959",8,0,0,,0,8,24,4,20,0,0
East Whiteland Township,"10,711",6,0,0,,1,5,120,12,106,2,0
Ebensburg,"3,175",7,0,0,,0,7,21,1,18,2,0
Economy,"9,389",0,0,0,,0,0,134,3,130,1,0
Eddystone,"2,407",13,0,0,,7,6,277,11,264,2,0
Edgewood,"3,059",5,0,0,,5,0,148,9,138,1,0
Edinboro,"6,316",6,0,1,,0,5,60,13,45,2,0
Edwardsville,"4,716",16,0,2,,0,14,156,7,149,0,0
Elderton,346,0,0,0,,0,0,0,0,0,0,0
Elizabethtown,"11,592",12,0,7,,1,4,192,16,176,0,1
Elizabeth Township,"13,216",4,0,0,,1,3,124,44,78,2,0
Elkland,"1,771",8,0,0,,3,5,55,13,42,0,0
Elk Lick Township,"2,143",0,0,0,,0,0,0,0,0,0,0
Ellwood City,"7,561",26,0,0,,3,23,147,15,125,7,1
Emlenton Borough,595,2,0,0,,0,2,12,1,11,0,0
Emmaus,"11,398",6,1,0,,4,1,156,21,130,5,0
Emporium,"1,908",5,0,0,,0,5,39,2,37,0,1
Emsworth,"2,413",1,0,0,,0,1,20,2,18,0,0
Ephrata,"13,955",30,0,3,,6,21,172,20,147,5,0
Ephrata Township,"10,309",9,0,1,,3,5,151,13,136,2,2
Erie,"99,019",353,10,46,,115,182,"2,278",567,"1,607",104,29
Etna,"3,391",13,2,0,,0,11,48,5,40,3,0
Everett,"1,745",1,0,1,,0,0,18,0,14,4,0
"Exeter Township, Berks County","25,930",21,0,4,,3,14,404,21,379,4,0
Fairfield,509,0,0,0,,0,0,9,2,6,1,0
"Fairview Township, Luzerne County","4,486",0,0,0,,0,0,36,6,28,2,0
"Fairview Township, York County","17,312",25,0,4,,3,18,191,28,157,6,0
"Falls Township, Bucks County","33,823",68,3,9,,21,35,722,85,596,41,0
Fawn Township,"2,348",0,0,0,,0,0,14,3,7,4,0
Ferguson Township,"19,222",5,1,2,,1,1,138,26,110,2,1
Findlay Township,"5,637",2,0,0,,0,2,55,15,38,2,0
Fleetwood,"4,085",14,0,1,,2,11,112,47,61,4,3
Ford City,"2,857",11,0,0,,1,10,29,6,22,1,1
Forest City,"1,789",5,0,0,,1,4,39,6,32,1,0
Forks Township,"15,390",6,0,3,,2,1,92,11,79,2,0
Forty Fort,"4,109",7,0,0,,1,6,50,4,44,2,0
"Foster Township, McKean County","4,191",2,0,0,,0,2,54,3,51,0,0
"Foster Township, Schuykill County",253,1,0,0,,0,1,4,0,4,0,0
Fountain Hill,"4,635",13,0,4,,2,7,106,13,89,4,0
Fox Chapel,"5,381",1,0,0,,0,1,34,5,27,2,0
Frackville,"3,715",4,0,0,,1,3,22,3,16,3,0
Franconia Township,"13,272",6,0,0,,0,6,90,11,78,1,0
Franklin,"6,255",17,0,1,,1,15,129,22,102,5,1
Franklin Park,"14,600",1,0,0,,1,0,76,27,48,1,0
"Franklin Township, Beaver County","3,970",4,0,0,,1,3,47,4,43,0,1
"Franklin Township, Carbon County","4,134",15,0,0,,0,15,38,11,25,2,1
"Franklin Township, Columbia County",588,0,0,0,,0,0,0,0,0,0,0
Frazer Township,"1,159",2,0,1,,1,0,228,3,224,1,0
Freedom,"1,521",8,0,1,,1,6,26,6,19,1,0
Freedom Township,"3,418",1,0,0,,0,1,69,4,64,1,1
Freemansburg,"2,611",2,0,0,,0,2,17,3,13,1,0
Freeport,"1,730",1,0,1,,0,0,4,0,4,0,0
Gaines Township,547,0,0,0,,0,0,6,1,5,0,0
Galeton,"1,119",5,0,1,,2,2,21,8,13,0,0
Gallitzin,"1,828",1,0,0,,0,1,12,2,10,0,0
Gallitzin Township,"1,281",0,0,0,,0,0,0,0,0,0,0
Garrett,432,0,0,0,,0,0,2,0,2,0,0
Geistown,"2,353",0,0,0,,0,0,2,0,2,0,0
Gettysburg,"7,608",31,0,4,,1,26,106,14,90,2,3
Girard,"3,007",2,0,0,,0,2,33,4,28,1,0
Girardville,"1,480",4,0,0,,0,4,9,4,5,0,0
Glassport,"4,408",23,0,0,,8,15,150,18,123,9,1
Glenolden,"7,177",8,0,1,,4,3,163,16,143,4,1
Granville Township,"5,046",3,0,0,,0,3,104,4,98,2,1
Great Bend,686,1,0,0,,0,1,2,0,2,0,0
Greencastle,"4,051",5,0,0,,1,4,30,4,26,0,0
"Greenfield Township, Blair County","4,075",4,0,0,,0,4,24,2,22,0,1
Greensburg,"14,419",47,0,8,,10,29,355,47,300,8,3
Green Tree,"5,089",7,1,0,,0,6,50,14,36,0,0
Greenville,"5,794",15,0,1,,0,14,100,18,77,5,1
Grove City,"8,169",4,0,0,,2,2,105,15,88,2,0
Halifax,831,0,0,0,,0,0,11,2,8,1,0
Hamburg,"4,420",20,0,0,,0,20,77,16,56,5,1
Hampden Township,"29,684",11,0,2,,6,3,235,30,202,3,0
Hanover,"15,537",23,0,0,,9,14,418,43,371,4,2
"Hanover Township, Luzerne County","10,901",27,0,1,,6,20,242,55,184,3,1
Harmar Township,"3,100",7,0,1,,2,4,95,6,86,3,0
Harrisburg,"48,996",526,13,54,,160,299,"1,342",404,803,135,27
Harrisville,876,0,0,0,,0,0,2,0,2,0,0
Hartleton,285,0,0,0,,0,0,0,0,0,0,0
Harveys Lake,"2,763",3,0,0,,0,3,13,1,12,0,0
Hatfield Township,"20,925",16,0,2,,8,6,259,59,184,16,0
Haverford Township,"49,168",25,0,5,,10,10,696,62,605,29,0
Hawley,"1,140",1,0,0,,1,0,4,0,4,0,0
Hazleton,"24,725",93,1,8,,45,39,360,125,208,27,3
Hegins Township,"3,457",2,0,0,,1,1,15,4,10,1,0
Heidelberg,"1,228",4,0,0,,0,4,5,2,2,1,0
"Heidelberg Township, Berks County","1,740",3,0,0,,0,3,3,1,2,0,0
Hellam Township,"8,666",15,0,2,,1,12,51,11,37,3,0
Hellertown,"5,809",8,0,0,,1,7,59,9,47,3,0
Hemlock Township,"2,266",0,0,0,,0,0,113,6,106,1,0
"Hempfield Township, Mercer County","3,705",10,0,0,,1,9,124,15,106,3,0
Hermitage,"15,958",30,1,0,,6,23,487,45,429,13,0
Highspire,"2,374",9,0,0,,3,6,85,10,75,0,0
Hilltown Township,"15,308",10,0,3,,2,5,231,20,204,7,0
Hollidaysburg,"5,782",7,0,1,,0,6,28,1,26,1,1
Homestead,"3,104",54,2,3,,23,26,371,42,311,18,0
Honesdale,"4,185",7,0,2,,3,2,84,22,61,1,1
Honey Brook,"1,766",2,0,0,,0,2,0,0,0,0,0
Hopewell Township,"12,466",21,0,1,,2,18,144,25,116,3,1
Horsham Township,"26,669",10,0,2,,2,6,230,15,194,21,3
Houston,"1,260",1,0,0,,1,0,20,2,17,1,0
Hughestown,"1,398",4,0,0,,1,3,14,2,12,0,0
Hughesville,"2,093",3,0,0,,1,2,15,0,15,0,0
Hulmeville,995,0,0,0,,0,0,6,4,1,1,0
Hummelstown,"4,565",10,0,1,,1,8,76,10,60,6,1
Huntingdon,"7,017",16,0,0,,0,16,80,5,74,1,0
"Independence Township, Beaver County","2,442",1,0,0,,1,0,9,3,6,0,0
"Independence Township, Washington County","1,513",0,0,0,,0,0,5,0,5,0,0
Indiana Township,"7,267",0,0,0,,0,0,35,9,22,4,0
Indian Lake,388,0,0,0,,0,0,2,2,0,0,0
Ingram,"3,271",3,0,0,,3,0,38,3,35,0,0
Irwin,"3,838",8,0,0,,0,8,48,9,35,4,0
"Jackson Township, Butler County","3,708",3,0,0,,0,3,21,13,8,0,0
"Jackson Township, Cambria County","4,180",3,0,0,,0,3,2,0,2,0,0
"Jackson Township, Luzerne County","4,648",1,0,0,,0,1,13,4,7,2,0
Jamestown,591,1,0,0,,0,1,3,0,3,0,0
Jeannette,"9,274",10,0,0,,3,7,78,16,62,0,0
Jefferson Hills Borough,"11,505",9,2,0,,0,7,88,12,68,8,0
"Jefferson Township, Lackawanna County","3,675",0,0,0,,0,0,6,0,6,0,0
"Jefferson Township, Mercer County","1,875",0,0,0,,0,0,9,5,4,0,0
"Jefferson Township, Washington County","1,161",0,0,0,,0,0,0,0,0,0,0
Jenkins Township,"4,453",2,0,0,,1,1,64,16,42,6,0
Jennerstown,664,1,0,0,,0,1,4,2,2,0,0
Jermyn,"2,082",10,0,0,,0,10,34,10,23,1,0
Jessup,"4,460",10,0,0,,0,10,18,3,15,0,3
Jim Thorpe,"4,614",18,0,2,,1,15,99,18,79,2,0
Johnsonburg,"2,351",0,0,0,,0,0,43,14,29,0,0
Johnstown,"21,227",100,5,2,,20,73,633,198,416,19,4
Kane,"3,588",0,0,0,,0,0,58,22,35,1,0
Kenhorst,"2,865",2,1,1,,0,0,59,6,50,3,0
Kennett Square,"6,188",8,0,2,,3,3,69,15,47,7,0
Kennett Township,"8,294",2,0,0,,2,0,63,13,49,1,1
Kidder Township,"1,935",7,0,1,,1,5,47,4,41,2,0
Kilbuck Township,689,0,0,0,,0,0,8,0,8,0,0
Kingston,"12,894",34,0,2,,15,17,232,30,196,6,3
Kingston Township,"6,963",12,1,0,,0,11,45,4,40,1,0
Kiskiminetas Township,"4,611",3,0,0,,2,1,18,3,15,0,0
Knox,"1,091",4,0,1,,0,3,7,0,7,0,0
Kutztown,"5,032",14,0,2,,1,11,93,15,73,5,0
Lake City,"2,952",8,1,0,,0,7,39,6,33,0,0
Lancaster,"59,340",487,4,92,,164,227,"2,164",255,"1,828",81,17
"Lancaster Township, Butler County","2,520",4,0,0,,0,4,15,2,13,0,0
"Lancaster Township, Lancaster County","17,244",18,0,0,,10,8,342,33,298,11,0
Lanesboro,474,0,0,0,,0,0,0,0,0,0,0
Langhorne Manor,"1,429",0,0,0,,0,0,7,2,5,0,0
Lansdale,"16,558",18,0,3,,3,12,196,18,173,5,2
Lansdowne,"10,643",20,0,3,,10,7,280,58,206,16,0
Lansford,"3,771",33,0,1,,2,30,47,4,41,2,1
Latrobe,"8,032",26,1,3,,2,20,132,16,112,4,0
Laureldale,"3,882",6,0,1,,1,4,34,7,25,2,0
Lawrence Park Township,"3,830",4,0,0,,0,4,7,0,6,1,0
"Lawrence Township, Clearfield County","7,489",61,0,1,,0,60,150,10,137,3,5
"Lawrence Township, Tioga County","1,697",6,0,0,,0,6,0,0,0,0,0
Lebanon,"25,549",60,1,3,,16,40,619,129,441,49,6
Leetsdale,"1,195",2,0,1,,1,0,47,12,32,3,0
Leet Township,"1,616",0,0,0,,0,0,14,0,14,0,0
"Lehigh Township, Northampton County","10,344",11,0,0,,0,11,83,17,64,2,0
"Lehigh Township, Wayne County","1,776",1,0,0,,0,1,4,1,3,0,0
Lehman Township,"3,474",9,0,0,,1,8,25,9,15,1,0
Lewistown,"8,260",25,0,2,,0,23,288,36,247,5,0
Liberty,"2,514",2,0,0,,0,2,4,1,2,1,0
Ligonier,"1,534",0,0,0,,0,0,1,0,0,1,0
Limerick Township,"18,939",5,0,0,,1,4,319,25,285,9,0
Linesville,990,1,0,0,,0,1,4,1,3,0,0
Lititz,"9,232",2,0,1,,1,0,37,3,33,1,2
Little Beaver Township,"1,357",0,0,0,,0,0,0,0,0,0,0
Littlestown,"4,486",6,1,3,,1,1,55,5,49,1,1
Lock Haven,"9,572",15,0,3,,3,9,152,17,134,1,2
Locust Township,"1,414",2,0,2,,0,0,18,6,12,0,1
Logan Township,"12,313",8,0,3,,1,4,189,1,182,6,1
Loretto,"1,392",0,0,0,,0,0,4,0,4,0,0
Lower Allen Township,"19,206",19,0,3,,6,10,343,21,315,7,8
Lower Burrell,"11,408",20,0,1,,0,19,146,14,128,4,0
Lower Frederick Township,"4,901",1,0,0,,0,1,35,11,21,3,0
Lower Gwynedd Township,"11,574",17,0,0,,1,16,144,16,119,9,0
Lower Heidelberg Township,"6,059",15,0,0,,1,14,25,1,23,1,0
Lower Merion Township,"58,234",28,0,0,,18,10,"1,068",136,882,50,0
Lower Moreland Township,"13,261",8,0,2,,1,5,179,26,147,6,0
Lower Paxton Township,"48,582",74,0,22,,12,40,643,79,545,19,9
Lower Pottsgrove Township,"12,194",12,0,1,,1,10,193,21,164,8,0
Lower Providence Township,"26,333",57,0,4,,7,46,265,38,214,13,1
Lower Salford Township,"15,415",10,0,0,,2,8,63,6,57,0,0
Lower Saucon Township,"10,764",8,0,0,,0,8,74,10,63,1,0
Lower Southampton Township,"19,185",60,0,2,,12,46,325,38,281,6,1
Lower Swatara Township,"8,881",1,0,1,,0,0,106,16,90,0,0
Lower Windsor Township,"7,486",3,0,0,,1,2,57,6,43,8,0
Macungie,"3,146",0,0,0,,0,0,11,4,5,2,0
Madison Township,"1,607",1,0,0,,0,1,2,0,1,1,0
"Mahoning Township, Carbon County4","4,211",18,0,1,,0,17,,11,,3,0
"Mahoning Township, Montour County","4,275",17,0,1,,0,16,37,0,36,1,0
Malvern,"3,527",6,0,0,,1,5,29,2,27,0,0
Manheim,"4,871",19,0,2,,4,13,135,25,106,4,1
Manheim Township,"39,930",20,0,4,,8,8,546,54,474,18,1
Manor,"3,310",3,0,0,,1,2,17,2,14,1,0
